,userId,title,rating
0,1,"13th Warrior, The (1999)",4.0
1,1,20 Dates (1998),4.0
2,1,"Abyss, The (1989)",4.0
3,1,"Adventures of Robin Hood, The (1938)",5.0
4,1,Alice in Wonderland (1951),5.0
5,1,Alien (1979),4.0
6,1,All Quiet on the Western Front (1930),5.0
7,1,American Beauty (1999),5.0
8,1,American History X (1998),5.0
9,1,"American Tail, An (1986)",5.0
10,1,Apocalypse Now (1979),4.0
11,1,Austin Powers: International Man of Mystery (1997),5.0
12,1,Back to the Future (1985),5.0
13,1,Back to the Future Part III (1990),4.0
14,1,Bambi (1942),5.0
15,1,Basic Instinct (1992),5.0
16,1,Batman (1989),4.0
17,1,Batman Returns (1992),3.0
18,1,Bedknobs and Broomsticks (1971),5.0
19,1,Beetlejuice (1988),4.0
20,1,Being John Malkovich (1999),4.0
21,1,Best Men (1997),4.0
22,1,Big (1988),4.0
23,1,"Big Lebowski, The (1998)",5.0
24,1,Big Trouble in Little China (1986),4.0
25,1,Billy Madison (1995),5.0
26,1,"Black Cauldron, The (1985)",5.0
27,1,Blazing Saddles (1974),5.0
28,1,Blown Away (1994),3.0
29,1,"Blues Brothers, The (1980)",5.0
30,1,Bottle Rocket (1996),5.0
31,1,Braveheart (1995),4.0
32,1,Canadian Bacon (1995),5.0
33,1,Charlotte's Web (1973),5.0
34,1,Citizen Kane (1941),5.0
35,1,Clear and Present Danger (1994),4.0
36,1,Clerks (1994),3.0
37,1,"Clockwork Orange, A (1971)",5.0
38,1,Con Air (1997),4.0
39,1,Conan the Barbarian (1982),5.0
40,1,Crocodile Dundee (1986),5.0
41,1,Dances with Wolves (1990),4.0
42,1,Dazed and Confused (1993),4.0
43,1,Desperado (1995),5.0
44,1,Dick Tracy (1990),4.0
45,1,"Dirty Dozen, The (1967)",5.0
46,1,Dogma (1999),5.0
47,1,Dr. No (1962),5.0
48,1,Dracula (1931),4.0
49,1,Duck Soup (1933),5.0
50,1,Dumb & Dumber (Dumb and Dumber) (1994),5.0
51,1,Dumbo (1941),5.0
52,1,E.T. the Extra-Terrestrial (1982),5.0
53,1,Easy Rider (1969),4.0
54,1,Ed Wood (1994),4.0
